raw_name,source_field,status,type,count,examples,suggested_action
White Russians,Winner,mapped_internal,faction,2,Ekaterinodar (2nd)1918; Kazan1918,check_internal_mapping
Yaqui,Loser,unmapped,unknown,2,Anil1886; Buatachive1886,add_actor_normalization
Zaia,Winner,unmapped,unknown,2,El Herri1914; ElKsiba1913,add_actor_normalization
Zhang Zuolin,Winner,unmapped,unknown,2,Tianjin1926; Xinmintun1925,add_actor_normalization
Zhili,Winner,unmapped,unknown,2,Changxindian1922; Zhuozhou1920,add_actor_normalization
Abdur Rahman,Winner,unmapped,unknown,1,Ghaznigak1888,add_actor_normalization
Abyssinia,Winner,unmapped,unknown,1,Amba Alagi1895,add_actor_normalization
Accidental incident,Winner,unmapped,unknown,1,Dogger Bank1904,add_actor_normalization
Aceh,Loser,unmapped,unknown,1,Gayoland1904,add_actor_normalization
Afghan Communists,Loser,unmapped,unknown,1,Kabul1992,add_actor_normalization
Afghan Government,Loser,unmapped,unknown,1,Khost1991,add_actor_normalization
Afghan Marxists,Winner,unmapped,unknown,1,Kabul1978,add_actor_normalization
Afghan Mujahideen,Winner,unmapped,unknown,1,Kabul1992,add_actor_normalization
